학년,반,이름,국어,영어,수학
1,A,박채원,76,45,53
1,B,정수아,89,53,55
1,C,최서진,68,51,44
1,D,박서윤,44,58,71
1,A,강채원,98,45,98
1,B,강서진,63,94,62
1,C,장예준,57,56,73
1,D,정서윤,64,54,60
1,A,최현우,96,44,65
1,B,박윤아,74,62,63
1,C,윤예준,100,66,78
1,D,임민서,57,64,80
1,A,조유나,43,89,68
1,B,조선우,85,93,100
1,C,김건우,47,73,90
1,D,최예준,75,76,96
1,A,이서윤,71,83,68
1,B,김지우,83,71,96
1,C,김민준,58,45,41
1,D,윤지유,57,74,88
2,A,정현우,46,88,46
2,B,정선우,85,41,90
2,C,윤채원,92,69,51
2,D,임민서,49,90,61
2,A,이채원,82,60,76
2,B,박민준,96,70,94
2,C,윤예준,92,67,68
2,D,강건우,85,77,79
2,A,윤현우,64,42,55
2,B,장윤아,74,91,78
2,C,박하윤,68,52,61
2,D,윤윤아,46,40,67
2,A,조하준,44,67,73
2,B,김건우,63,100,86
2,C,임하윤,85,98,88
2,D,강현우,99,90,87
2,A,최건우,87,82,72
2,B,윤수아,89,66,62
2,C,임주원,86,92,74
2,D,윤현우,81,85,63
3,A,최민서,64,89,41
3,B,조지우,92,70,53
3,C,조민서,84,88,41
3,D,임우진,86,61,44
3,A,강지유,50,66,55
3,B,정유나,53,48,86
3,C,강도윤,88,47,80
3,D,윤채원,77,56,70
3,A,최현우,52,98,47
3,B,강주원,91,89,70
3,C,장하윤,68,64,90
3,D,정건우,45,57,53
3,A,강건우,88,61,75
3,B,임서연,75,81,65
3,C,장채원,48,81,78
3,D,임현우,95,90,59
3,A,정민서,89,65,40
3,B,최서연,96,68,41
3,C,박채원,77,54,71
3,D,조예준,46,65,98
